text,label,label_id,dialect,sarcasm,text_clean
عبدالناصر الخائن الاكبر #الاخوان_المسلمون,positive,0,4,1,عبدالناصر الخائن الاكبر الاخوان المسلمون
ﻻ تحلموا بوطن سعيد فخلف كل #مبارك #مبارك جديد وخلف كل شهيد شهيد جديد فكلهم #حسني_مبارك وكلنا #خالد_سعيد,positive,0,4,1,تحلموا بوطن سعيد فخلف كل مبارك مبارك جديد وخلف كل شهيد شهيد جديد فكلهم حسني مبارك وكلنا خالد سعيد
@Nor_Alturki @AliAldafiri @salsaeedi هههه داعش تنصر المضلوم لو الجيش الحر لو جبهة النصرة كلهم مدعومين من السعودية الي تقصف شعب اليمن المضلوم,positive,0,1,0,ه داعش تنصر المضلوم لو الجيش الحر لو جبهه النصره كلهم مدعومين من السعوديه الي تقصف شعب اليمن المضلوم
هل #كيري خارج الخدمة؟ألا يعرف أن الهدنة انتهت؟ ماذا يريد الملا كيري؟ https://t.co/rOKH4kB7pc,negative,1,4,0,هل كيري خارج الخدمه؟الا يعرف ان الهدنه انتهت؟ ماذا يريد الملا كيري؟
#السعووديات_مرهلاتساعات نسائيه ماركة غوتشي،مع الاساور والخواتم وكرت الضمان فقط بـ250 ريال https://t.co/UwHO829lIX,negative,1,4,0,السعووديات مرهلاتساعات نسائيه ماركه غوتشي،مع الاساور والخواتم وكرت الضمان فقط بـ ريال
«رئاسيات» #النمسا: «الخضر» يهزم اليمين المتطرف | الأخبار https://t.co/En4zbYzbb4 @RanaHarbi https://t.co/0VpFVmZQax,negative,1,4,0,رئاسيات النمسا الخضر يهزم اليمين المتطرف الاخبار
#عرب48 | #سورية: جند الأقصى تنضم إلى #فتح_الشام https://t.co/M4vfuC5h54,negative,1,4,0,عرب سوريه جند الاقصا تنضم الا فتح الشام
عندما خيروا الشاب السوري بين بنات جامعة البا اللبنانية وبين ريكي مارتن فاختار ريكي مارتن وقال مو ناقصني قرف,positive,0,2,1,عندما خيروا الشاب السوري بين بنات جامعه البا اللبنانيه وبين ريكي مارتن فاختار ريكي مارتن وقال مو ناقصني قرف
سبوتنيك: أوباما يعلن حالة الطوارئ في فلوريدا: قال البيت الأبيض اليوم الخميس، إن الرئيس باراك أوباما أعلن حالة... https://t.co/N2BmcY9MHR,negative,1,4,0,سبوتنيك اوباما يعلن حاله الطوارئ في فلوريدا قال البيت الابيض اليوم الخميس، ان الرئيس باراك اوباما اعلن حاله
#السينما_مطلبنا#uber #أوبر #الرياض #السعودية #تخفيض #خصم #رمزكود خصم مشاوير أوبر7xcdn3rwue,negative,1,4,0,السينما مطلبنا اوبر الرياض السعوديه تخفيض خصم رمزكود خصم مشاوير اوبر
