dialect,sarcasm,sentiment,original_sentiment,tweet,source
1,0,0,0,نصيحه ما عمرك اتنزل لعبة سوبر ماريو مش زي ما كنّا متوقعين الله يرحم ايامات السيقا والفاميلي #SuperMarioRun,semeval
4,0,1,2,#نادين_نسيب_نجيم ❤️❤️❤️مجلة #ماري_كلير 💭#ملكة_الصحراء  👑https://t.co/fVtn489TUS@nadinenjeim @MarieClaire_AR,semeval
0,0,1,1,@Alito_NBA اتوقع انه بيستمر,semeval
2,1,1,0,"@KSA24 يعني ""بموافقتنا"" لأن دمشق صايرة موسكو",semeval
4,0,1,0,RT @alaahmad20: قائد في الحرس يعترف بفقدان السيطرة الأمنية في شرقي وغربي إيران - أحوازنا#الأحواز #السعودية @abo_asseel @spagov  https:/…,semeval
0,1,0,0,شوال الفلوس سويرس مشغول اوى اليومين دول بقناة الجزيرة ونازل شتيمة وتريقه فيها وفى ضيوفها خدك بيوجعك اوى ياشوال,astd
4,0,0,0,الأمين العام للأمم المتحدة: بشار الأسد قتل 300 ألف شخص فى سوريا https://t.co/KMXrqNovgE,semeval
0,1,0,1,"حسبنا الله ونعم الوكيل "" #انتخبوا_العرص #بيقولك_أعرف_بلدك #الحرية_للجدعان ناس عا…",astd
4,0,0,0,RT @isharatidriss: ٣٠)#امريكا_ومحاربة_الارهاب الذي صنعتة لمواصلة الكيد والحقد الذي يملاء قلوب دول الكفر علي الاسلام والمسلمين( يا ايها الذي…,semeval
4,0,1,0,رئيس لجنة الحكام رضا البلتاجى يفتح النار على #عمرو_أديب https://t.co/2PYLdCqvtp,semeval
0,1,1,0,حتي جوجل مش مصدق اني في بيت دمياط 💔 https://t.co/GBTmGmMRiG,semeval
1,0,0,0,على أي اساس سواقين #اوبر يعطون الراكب تقييم ؟ انا طبيعتي ماتكلم ولا اسولف مع السواقين حتى سواقي الخاص اقوله… — https://t.co/QEgjafZfrO,semeval
0,0,1,2,#SuperMarioRun  من جرب اللعبة ؟ انا عجبتني 👍🏻😍 #nintndo https://t.co/bVvx7b9DH2,semeval
0,0,0,1,RT @al_rakkad: مهما كابر البعض .. الارجنتين بحاجه ماسه الى هذا الرجل !من دونه نتائج سيئه جدًا .. الارجنتين من دون ميسي لاشيء .. https://…,semeval
4,0,0,1,الأسئلة التي هربنا منها أيام المجلس العسكري لا زالت تطاردنا وستظل إلى أن نواجهها ونجيب عليها,astd
2,0,1,1,انتي أم دفتر وردي عليه ستيكر ريال مدريد وكود ؟ بالاداب — اوووله 😅😅 ،، يمكن اي يمكن لا https://t.co/bSzbcCzqpi,semeval
4,0,1,1,#هام ـ #حلب بقي في الأحياء الشرقية لمدينة حلب  حتى اللحظة حوالي 2200 مسلح مع عائلاتهم. و من المتوقع أن تكون... https://t.co/mBWllalZY4,semeval
4,0,0,0,عليهم لعنة الله لن تضيع دماء الابرياء سوف تحل لعنة السماء على ال سعود المجرمين ومن حالفهم #الضنيه #Christmas #وينن https://t.co/rpMV6wHzSu,semeval
2,0,1,1,صارلي ثلاث اسابيع انطر هالتنبيه 😭😭😭#SuperMarioRun https://t.co/4S3UdcQwn2,semeval
1,0,1,1,حتي غوغل شاهد...! https://t.co/5EdQLrnS0d,semeval
4,1,0,0,#الحوثي #المخلوع عجباً ل #كيري و #قابوس كيف يتجاهلاالقرار٢٢١٦ الصادرمن مجلس الأمن ومحاولة الالتفاف عليه؟هل هذه الحياديةوالسعي لمصلحة #اليمن,semeval
0,0,2,2,شغل جامد 👌👍#MannequinChallenge https://t.co/r0aO699OxP,semeval
4,0,1,1,كل يوم - #السيسي يجتمع اليوم مع المجلس الاعلى للاستثمار#كل_يوم | #ON_E | #عمرو_اديبhttps://t.co/vhmqGNmZdQ,semeval
4,0,1,0,نيويورك تايمز: على أوباما وقف دعمه للسعودية إذا لم توقف مذابحها في  #اليمن و... https://t.co/44msnSZTWi #اليمن #اليمن_الان,semeval
0,1,0,0,#توفيق_عكاشة بيقول على هيفا ولية ناشفة امال حياة الدرديري بتاعتك دي ايه ؟؟ يافلاح ميت الغرقا ياحماررر,astd
0,1,1,1,RT @yousefalawnah: معمم آخر موديل شغل غوتشي😂😂😂 https://t.co/F2mOrNE1Pj,semeval
4,0,1,1,RT @al_tagreer: هل تغير إيران من سياسات تعاملها مع السعودية؟https://t.co/tgQbfq0nMLالرابط البديل :https://t.co/KbRifMgqaA https://t.co/D…,semeval
2,0,0,0,#حلب #سورياو ايه مقابل ال بتعمله #روسيا في سورياكل الروس ال بيتقتلوا و.كل طلعة جويةاكيد مش لله و سوريا و بشار,semeval
4,0,2,2,كل عام وأنتم بخير وكل منا في سلام مع نفسه ومع الغير وفي وطن يتسع للجميعمازالت قناعتي أن شباب مصر الثورة هم الحل والأمل:فكر خلاق وقيادة فتية,astd
